Character	Positive Counterpart	Negative Counterpart
Daniel Day-Lewis	Meryl Streep	Captain Ahab
Tina Fey	Joan Rivers	Bill Murray
Abraham Lincoln	Confucius	Dame Edna Everage
John Wilkes Booth	Harry S. Truman	Dorothy Parker
Adam Sandler	Benny Hill	Amy Schumer
Adam Smith	Dame Edna Everage	Boba Fett
Adam West	Chris Rock	Cameron Diaz
The Joker	Hannibal Lecter	Imelda Marcos
Al Bundy	Adam Sandler	Amy Schumer
Al Capone	Ann Coulter	"Wilson ""Kingpin"" Fisk"
Eliot Ness	James Comey	Pippi Longstocking
Al Gore	Ann Coulter	Ned Flanders
Al Pacino	Heath Ledger	Tina Turner
Alan Greenspan	Dame Edna Everage	Adam Smith
Alan Sugar	Charlemagne	Ann Coulter
Albert Einstein	Leonardo Da Vinci	Anna Karenina
Alec Baldwin	Heath Ledger	Ann Coulter
Alfred Hitchcock	Ann Coulter	Al Capone
Allan Quatermain	Buck Rogers	Katharine Hepburn
Andrew Lloyd Webber	John Grisham	Cameron Diaz
Andy Warhol	Alan Sugar	 
Angelina Jolie	Elizabeth Taylor	Al Gore
Ann Coulter	Frank Columbo	Angelina Jolie
Anna Karenina	Angelina Jolie	Charlie Chaplin
Emma Bovary	Alexander the Great	Helen of Troy
Anthony Bourdain	Tina Fey	Adam Sandler
Anton Chekov	Virginia Woolf	Karl Marx
Antonio Vivaldi	Dolly Parton	Muhammad Ali
Archie Bunker	Willie Nelson	Roseanne Barr
Ariel Sharon	Jack Bauer	Gloria Steinem
Aristotle	Saga Norén	Immanuel Kant
Arnold Schwarzenegger	Samson	Sarah Palin
Arthur Conan Doyle	Saga Norén	Elmer Fudd
Atticus Finch	Ophelia	Reginald Jeeves
Audrey Hepburn	Dorian Gray	Taylor Swift
Aung San Suu Kyi	Moses	Angelina Jolie
Austin Powers	Helen Keller	Jar Jar Binks
Ayn Rand	 	 
Babe Ruth	Serena Williams	Homer Simpson
Barack Obama	Cicero	Queen Elizabeth I
Barry White	Giacomo Casanova	Bridget Jones
Bart Simpson	Lizzy Bennet	Basil Fawlty
Basil Fawlty	Tina Fey	Bart Simpson
Bear Grylls	Arya Stark	Daniel Day-Lewis
Ben Affleck	 	 
Benedict Arnold	Professor James Moriarty	Emma Bovary
Benjamin Franklin	David Bowie	Bridget Jones
Benny Hill	Billy Crystal	Bridget Jones
Bertie Wooster	Monsieur Hulot	Phoebe Buffay
Reginald Jeeves	Dexter Morgan	Nurse Ratched
Bill Clinton	Reginald Jeeves	Cleopatra
Bill Cosby	Johnny Carson	Angelina Jolie
Bill Gates	Imelda Marcos	Matt Groening
Bill Murray	Dean Winchester	Tina Fey
Billy Bob Thornton	Meryl Streep	David Lynch
Billy Crystal	Benny Hill	 
Bing Crosby	Dean Martin	Saga Norén
Bob Dylan	Edith Piaf	Al Gore
Leonard Cohen	Dolly Parton	Bob Dylan
Bob Marley	Edith Piaf	Richard Dawkins
Boba Fett	Allan Quatermain	Ayn Rand
Bobby Fischer	Ann Coulter	Brian Wilson
Bono	Karen Carpenter	Noam Chomsky
Brad Pitt	Clark Gable	Bridget Jones
Brian Wilson	Antonio Vivaldi	Lindsay Lohan
Bridget Jones	Silvio Berlusconi	Carrie Bradshaw
Britney Spears	Al Gore	Courtney Love
Bruce Lee	Janet Jackson	Adam West
Bruce Springsteen	Fidel Castro	Angelina Jolie
Bruce Wayne	Imelda Marcos	Eliot Ness
Commissioner James Gordon	Nigella Lawson	Theodore Roosevelt
Harvey Dent	Dian Fossey	Freddy Krueger
Batman	Jason Bourne	Angela Merkel
Catwoman	Batman	Natasha Romanova
Buck Rogers	Amelia Earhart	Buzz Lightyear
Buddha	Dame Edna Everage	Thomas Aquinas
Buzz Aldrin	Virginia Woolf	Alan Sugar
Buzz Lightyear	Han Solo	Diana Ross
Emperor Caligula	Lizzy Bennet	Ming The Merciless
Cameron Diaz	Tyra Banks	Ben Affleck
Captain Ahab	Eliot Ness	 
Cardinal Richelieu	Julius Caesar	Cersei Lannister
Carl Lewis	Trinity	Cristiano Ronaldo
Carl Sagan	Ann Coulter	Confucius
Stephen Jay Gould	Ann Coulter	Al Gore
Carrie Bradshaw	Dorothy Parker	Ryan Reynolds
Enrico Caruso	Dolly Parton	Barry White
Cary Grant	Kevin Spacey	Gwyneth Paltrow
Giacomo Casanova	Ann Coulter	Bill Clinton
Charlemagne	Al Capone	Cleopatra
Charles Atlas	Modesty Blaise	Arnold Schwarzenegger
Charles Darwin	Sigmund Freud	 
Charles Dickens	Arthur Conan Doyle	 
Charles Foster Kane	Lex Luthor	Cleopatra
Charlie Brown	Mahatma Gandhi	Aung San Suu Kyi
Charlie Chaplin	Tina Fey	John F. Kennedy
Charlie Parker	Edith Piaf	Heath Ledger
Che Guevara	Rosa Parks	John Wilkes Booth
Christian Bale	Angelina Jolie	Vincent Van Gogh
Christopher Columbus	Dian Fossey	Bill Clinton
Christopher Hitchens	Carl Sagan	Judge Judy Sheindlin
