Typical Activity	Reaction	Abilities	For	Against	Categories	Qualities	so	and	but
abusing power	fear, resent, criticize, disrespect, denounce, renounce, condemn, disagree_with, hate, despise	abuse, force, enslave, exploit, take advantage of	autocracy, power, force, abuse of power, despotism, tyranny, dictatorships, undue force, unnecessary force	oversight, democracy, restraint	autocrat, tyrant, martinet, despot, dictator, bully	power-mad, power-hungry, autocratic, tyrannical, despotic	lead_astray, are_corrupted_by, conspire_with		are_reported_by, snitch_on, are_blackmailed_by, are_disillusioned_by, are_abused_by, abuse
acting off-off-Broadway	admire, joke_about, laugh_at, mock, heckle	act, portray, emote	acting, theatre, theater, 	Broadway	actor, thespian, luvvie	theatrical, histrionic	perform_with	learn_from	are_disrespected_by, are_heckled_by, upstage, are_upstaged_by
adopting children	admire, respect, look_up_to	adopt, foster, take on, take in, shelter, save	adoption, adoptees, orphans, children in need, foster parents, foster homes	orphanages	adoptive parent, foster parent	big-hearted	support		are_embarrassed_by, embarrass
advising on foreign affairs	admire, respect, support	advise, counsel, guide, mentor, influence, nudge, influence decisions, anticipate problems, exchange ideas	foreign affairs, diplomacy, foreign policies	domestic affairs, domestic policy	policy wonk, adviser, diplomat, ambassador	astute, wise, international		debate_with	disagree_with, undermine
amassing ill-gotten wealth	despise, resent, hate, condemn, renounce, denounce, curse, censure	enrich, become rich, make money, get rich	money, wealth, riches, gold, greed, bullion, Nazi gold, the wages of sin	sharing, moderation	tycoon, robber baron, mogul, greedy guts, kleptocrat	wealthy, rich, grasping, greedy, covetous	conspire_with		cheat, defraud, steal_from, are_reported_by, snitch_on
amassing nuclear weapons	despise, resent, hate, condemn, renounce, denounce, fear	weaponize, militarize, threaten, defend, arm, nuclearize	nuclear weapons, atom bombs, plutonium, uranium	denuclearization, converntional weapons, disarmament	villain, megalomaniac, nuclear power, superpower	megalomaniacal, insecure, villainous	conspire_with	are_financed_by, fund	are_threatened_by, are_intimidated_by
amassing wealth	despise, resent, hate, condemn, renounce, denounce, curse	enrich, become rich, make money, get rich	money, wealth, riches, gold, greed	sharing, moderation	tycoon, mogul, moneybags, moneybags	wealthy, rich, greedy			cheat, defraud, steal_from
amassing weapons	despise, resent, hate, condemn, renounce, denounce, fear	weaponize, militarize, threaten, defend, arm, nuclearize	weapons, power, force	disarmament	warmoinger, war-monger	power-mad, power-hungry, belligerent, bellicose, warlike	fight_with		are_threatened_by, are_intimidated_by
analyzing intelligence data	admire, respect, 	analyze, probe, understand	insight, big data, spying, intelligence data, classified intelligence 		intelligence officer, intelligence analyst	analytical, probing	listen_to	debate_with	disagree_with, undermine
analyzing murder scenes	admire, respect, 	solve, probe, analyze, investigate	clues, forensics, evidence, fingerprints,  footprints	murder, homicide, crime, mudereres	profiler, detective, cop, criminal profiler, mind hunter, mindhunter	observant, detail-oriented	listen_to	debate_with	disagree_with, undermine
analyzing the sub-conscious	admire, respect, look_up_to	understand, analyze, analyse, probe, uncover, hypnotize, hypnotise	psychotherapy, unconscious, dreams, subconscious, Freud, unconscious, sub-conscious, Oedipus, Freudian slips, psychoanalysis, deep analysis, psychotherapy, hypnotism, hypnotic suggestion, childhood trauma, trauma, dream analysis, dream symbols		therapist, shrink, headshrink, head shrink, psychiatrist, psychologist	probing, insightful	listen_to	debate_with	are_shocked_by
appearing in infomercials	tune_out, avoid, laugh_at	sell, persuade, inform, teach, guide, shill, shill for, demonstrate, give a demonstration	consumerism, advertising, advertizing, ads, infomercials		frontman, shill, spokesperson, spokesman	informative, patronising	sell_to	sell_through	are_marketed_by
appeasing belligerent dictators	pity, resent, hate, despise, mock, taunt, reject, stand_up_to	appease, cozy up, cosy up, please, butter up, flatter, 	appeasement, dictators	force, war, hostility, belligerence, aggression, 	appeaser, vassal, coward	spineless, supine, cowardly, weak, 	conspire_with		are_disgusted_by
applying science	admire, respect, compliment, agree_with	reason, experiment, theorize, experiment with, experiment on	science, technology, experimentation, human experimentation, scientific method	superstition, irrationality, pseudoscience, alchemy	scientist, researcher	scientific, logical, empirical, experimental	learn_from	debate_with	experiment_on
appreciating vintage collectibles	laugh_at	appreciate, appraise, evaluate	collecting, vintage, collectibles, mint condition, original packaging, antiques, antique shops, flea markets		collector, afficionado, nerd	organized, organised, appreciative	sell_to, evaluate_with	buy_from	are_deceived_by, steal_from, are_evaluated_by
apprehending criminals	admire, respect, look_up_to, praise	apprehend, catch, arrest, track, roundup, round up	clues, forensics, law, law and order, due process, arrest warrants, search warrants	criminals, crime, criminality	police man, detective, cop	determined, tenacious, righteous	support, trust		are_betrayed_by, lead_astray, are_corrupted_by, are_investigated_by
arguing against capitalism	disagree_with, agree_with, believe_in, reject	defeat, undermine, argue against, debate, bicker, debate with, argue with	communism, socialism, Marxism, collectivism, regulation	capitalism, consumerism, free markets, free trade	anti-capitalist, socialist, communist	anti-capitalist, anticapitalist	argue_with, disagree_with	debate_with	are_persuaded_by, are_denounced_by, denounce
eating Peking duck		eat, chomp, gobble	Chinese food, Peking duck, hoisin sauce, roast duck, smoked duck		gourmand	hungry	cater_to	cook_for	devour
squabbling on television	tune_out, ignore	argue against, appear on TV, debate, squabble, argue with, argue	argument, debate, punditry, pundits, talking heads		pundit, talking head, wonk, policy wonk, TV pundit	argumentative, petty	argue_with, disagree_with	debate_with, stand_up_to	are_persuaded_by, mock, are_mocked_by, are_denounced_by, denounce
arguing with political opponents	tune_out, ignore, joke_about, laugh_at, 	argue with, argue against, debate	argument, debate, politics, political opponents,  opponents, disagreement		policy wonk, pundit, politician, partisan, wonk	argumentative, political	argue_with, disagree_with	debate_with	are_persuaded_by, are_denounced_by, denounce
arranging dinner parties	love	socialize, socialise, mingle, host, hobnob, bring together	dinner parties, high society, polite society, cocktails, dinner at eight, evening dress, cocktail parties	fast food	host, socialite	sophisticated, urbane	cater_to, interact_with	cook_for, entertain	devour, are_disrespected_by, disrespect
arresting criminals	admire, respect, look_up_to, praise	arrest, apprehend, catch, round up	clues, forensics, law, law and order, arrest warrants, search warrants, arraignment	criminals, crime, 	cop, police man, police officer	righteous	support, trust	report_to, are_informed_by	are_betrayed_by, lead_astray, are_corrupted_by, are_investigated_by, are_unimpressed_by
